TIME_M,EVENT
1706780274.880000,3.000000
1706780277.850000,2.000000
1706780280.800000,3.000000
1706780283.820000,3.000000
1706780286.830000,2.000000
1706780289.830000,2.000000
1706780292.820000,3.000000
1706780295.800000,3.000000
1706780298.870000,2.000000
1706780301.870000,3.000000
1706780304.850000,2.000000
1706780307.860000,3.000000
1706780310.810000,2.000000
1706780313.870000,3.000000
1706780316.820000,3.000000
1706780319.810000,2.000000
1706780322.810000,2.000000
1706780325.800000,3.000000
1706780328.800000,3.000000
1706780331.810000,3.000000
1706780334.810000,3.000000
1706780337.800000,3.000000
1706780340.800000,3.000000
1706780343.820000,2.000000
1706780346.810000,2.000000
1706780349.800000,2.000000
1706780352.820000,3.000000
1706780355.830000,3.000000
1706780358.810000,3.000000
1706780361.810000,3.000000
1706780364.820000,2.000000
1706780367.800000,3.000000
1706780370.850000,2.000000
1706780373.840000,3.000000
1706780376.800000,3.000000
1706780379.800000,2.000000
1706780382.860000,3.000000
1706780385.850000,2.000000
1706780388.800000,3.000000
1706780391.800000,3.000000
1706780394.830000,3.000000
1706780397.800000,2.000000
1706780400.810000,3.000000
1706780403.810000,2.000000
1706780406.860000,3.000000
1706780409.800000,3.000000
1706780412.800000,2.000000
1706780415.810000,2.000000
1706780418.840000,3.000000
1706780421.810000,2.000000
1706780424.800000,3.000000
1706780427.850000,2.000000
1706780430.800000,3.000000
1706780433.800000,2.000000
1706780436.800000,3.000000
1706780439.860000,3.000000
1706780442.800000,3.000000
1706780445.810000,3.000000
1706780448.800000,3.000000
1706780451.800000,2.000000
1706780454.800000,2.000000
1706780457.800000,2.000000
1706780460.820000,2.000000
1706780463.800000,3.000000
1706780466.880000,3.000000
1706780469.810000,3.000000
1706780472.810000,3.000000
1706780475.800000,2.000000
1706780478.800000,3.000000
1706780481.820000,3.000000
1706780484.840000,2.000000
1706780487.810000,3.000000
1706780490.800000,3.000000
1706780493.870000,3.000000
1706780496.830000,3.000000
1706780499.820000,1.000000
1706780502.810000,2.000000
1706780505.810000,3.000000
1706780508.800000,3.000000
1706780511.800000,3.000000
1706780514.800000,3.000000
1706780517.810000,3.000000
1706780520.810000,3.000000
1706780523.810000,3.000000
1706780526.810000,2.000000
1706780529.810000,3.000000
1706780532.810000,2.000000
1706780535.800000,3.000000
1706780538.810000,3.000000
1706780541.810000,3.000000
1706780544.800000,3.000000
1706780547.810000,3.000000
1706780550.810000,3.000000
1706780553.830000,3.000000
1706780556.800000,3.000000
1706780559.870000,3.000000
1706780562.810000,2.000000
1706780565.810000,2.000000
1706780568.810000,2.000000
1706780571.840000,3.000000
1706780574.810000,2.000000
1706780577.860000,3.000000
1706780580.830000,2.000000
1706780583.810000,2.000000
1706780586.850000,3.000000
1706780589.810000,3.000000
1706780592.800000,2.000000
1706780595.800000,3.000000
1706780598.800000,3.000000
1706780601.810000,3.000000
1706780604.850000,3.000000
1706780607.860000,3.000000
1706780610.800000,2.000000
1706780613.830000,2.000000
1706780616.800000,2.000000
1706780619.800000,3.000000
1706780622.860000,3.000000
1706780625.810000,2.000000
1706780628.800000,2.000000
1706780631.830000,3.000000
1706780634.810000,3.000000
1706780637.810000,3.000000
1706780640.820000,2.000000
1706780643.810000,2.000000
1706780646.880000,3.000000
1706780649.800000,2.000000
1706780652.820000,3.000000
1706780655.800000,2.000000
1706780658.860000,3.000000
1706780661.800000,3.000000
1706780664.810000,3.000000
1706780667.810000,2.000000
1706780670.800000,3.000000
1706780673.810000,2.000000
1706780676.840000,3.000000
1706780679.800000,3.000000
1706780682.800000,3.000000
1706780685.800000,2.000000
1706780688.840000,2.000000
1706780691.810000,3.000000
1706780694.840000,3.000000
1706780697.810000,3.000000
1706782500.810000,2.000000
1706782503.850000,3.000000
1706782506.830000,2.000000
1706782509.850000,3.000000
1706782512.800000,3.000000
1706782515.810000,2.000000
1706782518.810000,3.000000
1706782521.800000,2.000000
1706782524.810000,2.000000
1706782527.810000,3.000000
1706782530.810000,3.000000
1706780709.810000,3.000000
1706780712.830000,2.000000
1706780715.800000,2.000000
1706780718.860000,3.000000
1706780721.810000,3.000000
1706780724.800000,3.000000
1706780727.860000,3.000000
1706780730.800000,3.000000
1706780733.800000,3.000000
1706780736.850000,3.000000
1706780739.800000,3.000000
1706780742.810000,3.000000
1706780745.800000,3.000000
1706780748.880000,3.000000
1706780751.820000,3.000000
1706780754.840000,2.000000
1706780757.800000,3.000000
1706780760.800000,3.000000
1706780763.800000,2.000000
1706780766.870000,2.000000
1706780769.800000,3.000000
1706780772.800000,2.000000
1706780775.810000,2.000000
1706780778.810000,3.000000
1706780781.810000,2.000000
1706780784.810000,2.000000
1706780787.850000,3.000000
1706780790.810000,2.000000
1706780793.800000,2.000000
1706780796.870000,3.000000
1706780799.820000,3.000000
1706780802.810000,2.000000
1706780805.860000,3.000000
1706780808.810000,3.000000
1706780811.830000,3.000000
1706780814.840000,3.000000
1706780817.810000,2.000000
1706780820.800000,3.000000
1706780823.800000,3.000000
1706780826.800000,3.000000
1706780829.800000,2.000000
1706780832.850000,2.000000
1706780835.810000,3.000000
1706780838.810000,3.000000
1706780841.800000,2.000000
1706780844.800000,2.000000
1706780847.810000,2.000000
1706780850.870000,2.000000
1706780853.850000,3.000000
1706780856.800000,3.000000
1706780859.850000,3.000000
1706780862.810000,3.000000
1706780865.800000,3.000000
1706780868.880000,3.000000
1706780871.860000,2.000000
1706780874.800000,3.000000
1706780877.810000,2.000000
1706780880.800000,3.000000
1706780883.800000,3.000000
1706780886.800000,3.000000
1706780889.830000,2.000000
1706780892.810000,2.000000
1706780895.830000,3.000000
1706780898.800000,3.000000
1706780901.800000,2.000000
1706780904.800000,3.000000
1706780907.850000,3.000000
1706780910.810000,3.000000
1706780913.830000,2.000000
1706780916.800000,2.000000
1706780919.800000,2.000000
1706780922.840000,3.000000
1706780925.810000,2.000000
1706780928.810000,3.000000
1706780931.860000,3.000000
1706780934.810000,3.000000
1706780937.800000,3.000000
1706780940.810000,2.000000
1706780943.800000,3.000000
1706780946.810000,3.000000
1706780949.840000,2.000000
1706780952.810000,3.000000
1706780955.820000,2.000000
1706780958.800000,3.000000
1706780961.800000,3.000000
1706780964.820000,2.000000
1706780967.810000,3.000000
1706780970.800000,2.000000
1706780973.800000,2.000000
1706780976.840000,2.000000
1706780979.800000,3.000000
1706780982.800000,3.000000
1706780985.810000,3.000000
1706780988.840000,3.000000
1706780991.840000,3.000000
1706780994.860000,3.000000
1706780997.800000,3.000000
1706781000.840000,3.000000
1706781003.800000,3.000000
1706781006.810000,2.000000
1706781009.860000,2.000000
1706781012.800000,3.000000
1706781015.800000,3.000000
1706781018.810000,3.000000
1706781021.800000,2.000000
1706781024.840000,2.000000
1706781027.800000,3.000000
1706781030.810000,3.000000
1706781033.860000,2.000000
1706781036.800000,2.000000
1706781039.800000,2.000000
1706781042.800000,3.000000
1706781045.860000,3.000000
1706781048.800000,3.000000
1706781051.860000,2.000000
1706781054.810000,3.000000
1706781057.800000,3.000000
1706781060.850000,3.000000
1706781063.810000,3.000000
1706781066.850000,3.000000
