TIME_M,EVENT
1706781180.000000,3.000000
1706781183.000000,2.000000
1706781186.000000,2.000000
1706781189.000000,3.000000
1706781192.000000,2.000000
1706781195.000000,2.000000
1706781198.000000,3.000000
1706781201.000000,3.000000
1706781204.000000,3.000000
1706781207.000000,2.000000
1706781210.000000,3.000000
1706781213.000000,3.000000
1706781216.000000,2.000000
1706781219.000000,3.000000
1706781222.000000,2.000000
1706781225.000000,3.000000
1706781228.000000,3.000000
1706781231.000000,3.000000
1706781234.000000,2.000000
1706781237.000000,3.000000
1706781240.000000,2.000000
1706781243.000000,3.000000
1706781246.000000,3.000000
1706781249.000000,2.000000
1706781252.000000,2.000000
1706781255.000000,2.000000
1706781258.000000,2.000000
1706781261.000000,3.000000
1706781264.000000,3.000000
1706781267.000000,2.000000
1706781270.000000,1.000000
1706781273.000000,3.000000
1706781276.000000,2.000000
1706781279.000000,3.000000
1706781282.000000,2.000000
1706781285.000000,2.000000
1706781288.000000,2.000000
1706781291.000000,2.000000
1706781294.000000,2.000000
1706781297.000000,2.000000
1706781300.000000,3.000000
1706781303.000000,3.000000
1706781306.000000,3.000000
1706781309.000000,3.000000
1706781312.000000,3.000000
1706781315.000000,3.000000
1706781318.000000,2.000000
1706781321.000000,3.000000
1706781324.000000,3.000000
1706781327.000000,3.000000
1706781330.000000,3.000000
1706781333.000000,3.000000
1706781336.000000,3.000000
1706781339.000000,3.000000
1706781342.000000,3.000000
1706781345.000000,3.000000
1706781348.000000,3.000000
1706781351.000000,2.000000
1706781354.000000,1.000000
1706781357.000000,2.000000
1706781360.000000,2.000000
1706781363.000000,3.000000
1706781366.000000,2.000000
1706781369.000000,2.000000
1706781372.000000,2.000000
1706781375.000000,2.000000
1706781378.000000,3.000000
1706781381.000000,3.000000
1706781384.000000,3.000000
1706781387.000000,3.000000
1706781390.000000,2.000000
1706781393.000000,3.000000
1706781396.000000,3.000000
1706781399.000000,3.000000
1706781402.000000,2.000000
1706781405.000000,3.000000
1706781408.000000,3.000000
1706781411.000000,2.000000
1706781414.000000,2.000000
1706781417.000000,2.000000
1706781420.000000,3.000000
1706781423.000000,3.000000
1706781426.000000,3.000000
1706781429.000000,3.000000
1706781432.000000,2.000000
1706781435.000000,2.000000
1706781438.000000,3.000000
1706781441.000000,3.000000
1706781444.000000,3.000000
1706781447.000000,3.000000
1706781450.000000,3.000000
1706781453.000000,3.000000
1706781456.000000,3.000000
1706781459.000000,3.000000
1706781462.000000,2.000000
1706781465.000000,3.000000
1706781468.000000,3.000000
1706781471.000000,3.000000
1706781474.000000,3.000000
1706781477.000000,2.000000
1706781480.000000,3.000000
1706781483.000000,3.000000
1706781486.000000,3.000000
1706781489.000000,2.000000
1706781492.000000,2.000000
1706781495.000000,3.000000
1706781498.000000,2.000000
1706781501.000000,2.000000
1706781504.000000,2.000000
1706781507.000000,2.000000
1706781510.000000,3.000000
1706781513.000000,3.000000
1706781516.000000,3.000000
1706781519.000000,3.000000
1706781522.000000,2.000000
1706781525.000000,2.000000
1706781528.000000,3.000000
1706781531.000000,3.000000
1706781534.000000,3.000000
1706781537.000000,2.000000
1706781540.000000,2.000000
1706781543.000000,3.000000
1706781546.000000,3.000000
1706781549.000000,2.000000
1706781552.000000,2.000000
1706781555.000000,2.000000
1706781558.000000,3.000000
1706781561.000000,3.000000
1706781564.000000,3.000000
1706781567.000000,2.000000
1706781570.000000,2.000000
1706781573.000000,3.000000
1706781576.000000,2.000000
